,id,name,artists,artist_ids,year,genre,language,country,AppleMusicLink,SpotifyLink,YouTubeLink,YouTubeMusicLink,PandoraLink,DeezerLink,SoundCloudLink,AmazonMusicLink,TIDALLink,NapsterLink,YandexLink
0,46eD6ihjMBGmV0GmF4wRUG,Together,['Aluminum Babe'],['5vtzrw6ScyjN1gifJywppu'],2007,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/299055073?i=299055108&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/46eD6ihjMBGmV0GmF4wRUG""","""https://www.youtube.com/watch?v=zrn7co6NVnM""","""https://music.youtube.com/watch?v=zrn7co6NVnM""",not found,"""https://www.deezer.com/track/76931273""",not found,"""https://music.amazon.com/albums/B001NFRSLK?trackAsin=B001NFMJE6&amp;do=play""",not found,"""https://napster.com/track/tra.24979923""","""https://music.yandex.ru/track/5804796"""
1,3QLweFNLOOPAU0Fnjn1Vni,Transcendental Game of Zen,['Minamina Goodsong'],['3KSIlUJhotpyPWWlMg5N0d'],2005,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/77780702?i=77780646&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/7vbHPzz7aVzuspoC0n1402""","""https://www.youtube.com/watch?v=6G67Qt50rSw""","""https://music.youtube.com/watch?v=6G67Qt50rSw""","""https://www.pandora.com/TR:10720948""","""https://www.deezer.com/track/30637791""",not found,"""https://music.amazon.com/albums/B000S995TU?trackAsin=B000S3HBJC&amp;do=play""","""https://listen.tidal.com/track/19121337""",not found,"""https://music.yandex.ru/track/46431776"""
2,2BsfogfDmNTWVglBkRD40I,Heart Beat,['Funky Destination'],['2FK2jZ7cuokxYOC5nSM7bK'],2015,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/959184843?i=959184858&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/2BsfogfDmNTWVglBkRD40I""","""https://www.youtube.com/watch?v=c_EbNFwTdKQ""","""https://music.youtube.com/watch?v=c_EbNFwTdKQ""","""https://www.pandora.com/TR:6409197""","""https://www.deezer.com/track/92909472""","""https://soundcloud.com/funkydestinationofficial/heart-beat""",not found,"""https://listen.tidal.com/track/39842915""","""https://napster.com/track/tra.173373419""","""https://music.yandex.ru/track/21299655"""
3,1HsaLDyJtQa8QVbNvxDvm9,Satisfied,['Rebecca Folsom'],['5mswgSvDrYFvx3BpnBZJaq'],2004,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/16239875?i=16239867&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/1HsaLDyJtQa8QVbNvxDvm9""","""https://www.youtube.com/watch?v=EfzLvX8gvfI""","""https://music.youtube.com/watch?v=EfzLvX8gvfI""",not found,"""https://www.deezer.com/track/70069127""",not found,"""https://music.amazon.com/albums/B000QQX38E?trackAsin=B000QLY3WY&amp;do=play""",not found,"""https://napster.com/track/tra.6689978""","""https://music.yandex.ru/track/13507660"""
4,03fblp49WwWCsIdIP3E6UZ,Superbird (Ft. Singing Bird),['The Bug'],['213i4NKah1DX9q0FNiKsuw'],2003,NAN,NAN,NAN,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
5,0Veyvc3n9AcLSoK3r1dA12,Voices in My Head,['A Boogie Wit da Hoodie'],['31W5EY0aAly4Qieq6OFu6I'],2018,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1210537086?i=1210538352&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/5de7ci7TFqbQ1PFgKAD7MR""","""https://www.youtube.com/watch?v=aMimIZJiMp0""","""https://music.youtube.com/watch?v=aMimIZJiMp0""","""https://www.pandora.com/TR:9970597""","""https://www.deezer.com/track/145440214""","""https://soundcloud.com/pnbrock/pnb-rock-kodak-black-a-boogie-horses-from-the-fate-of-the-furious-the-album-official-audio""","""https://music.amazon.com/albums/B06XCPB3XK?trackAsin=B06XCFZS79&amp;do=play""","""https://listen.tidal.com/track/71926527""","""https://napster.com/track/tra.419868873""","""https://music.yandex.ru/track/34376076"""
6,30r8XfuTmsqXnmT4eOYLvk,Yop Sticc,"['Innerstate Ike', 'T- Loc']","['0vsqez7aphniHAnu6vCNkW', '7BKaq3LBUNAhdJwSwn2UZr']",2017,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1215488797?i=1215488837&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/30r8XfuTmsqXnmT4eOYLvk""","""https://www.youtube.com/watch?v=8iUglABPFRg""","""https://music.youtube.com/watch?v=8iUglABPFRg""",not found,"""https://www.deezer.com/track/144346258""",not found,"""https://music.amazon.com/albums/B06XNLXTYC?trackAsin=B06XNPB136&amp;do=play""","""https://listen.tidal.com/track/71584395""",not found,not found
7,4YQ9WEYQG7fq0MAUYeB19Y,Vamos Muy Bien,['Obus'],['5OImtJcOmtdm3MkR1yLHkp'],1984,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/273928463?i=273928632&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""",not found,"""https://www.youtube.com/watch?v=rvu5dE93VtU""","""https://music.youtube.com/watch?v=rvu5dE93VtU""","""https://www.pandora.com/TR:10038632""","""https://www.deezer.com/track/1005300""","""https://soundcloud.com/obus-official/vamos-muy-bien-1""","""https://music.amazon.com/albums/B004A2QCQA?trackAsin=B004A2X326&amp;do=play""",not found,"""https://napster.com/track/tra.52758892""",not found
8,5C9OlO8uF1DgOadaIl3hoR,Love Is Calling,['Jonnie and Brookie'],['4RHnlxSFrHnx2gRMvpUAM8'],2014,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/398731008?i=398732778&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/1NxUve2DNzBwY52NgU6u7i""",not found,not found,not found,"""https://www.deezer.com/track/70503229""",not found,"""https://music.amazon.com/albums/B00477F4DU?trackAsin=B00477F4N0&amp;do=play""",not found,"""https://napster.com/track/tra.41841669""","""https://music.yandex.ru/track/13728414"""
9,6FdSFTYUFxRcSOCgwrDl3h,Right Now,['Lettuce'],['1fZXjUQEkVbB0TvZX4qFR8'],2017,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1292424573?i=1292425757&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/6FdSFTYUFxRcSOCgwrDl3h""","""https://www.youtube.com/watch?v=91gIcvpZ0RE""","""https://music.youtube.com/watch?v=91gIcvpZ0RE""","""https://www.pandora.com/TR:32625095""","""https://www.deezer.com/track/411263552""","""https://soundcloud.com/lettucefunk/right-off""","""https://music.amazon.com/albums/B075XDR9FT?trackAsin=B075XF6WC1&amp;do=play""","""https://listen.tidal.com/track/79213290""","""https://napster.com/track/tra.277052260""","""https://music.yandex.ru/track/37209331"""
