,id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,release_date
424513,46eD6ihjMBGmV0GmF4wRUG,Together,smoke in CHINATOWN,4MPq5ix5c8WmLDSd78MOl6,['Aluminum Babe'],['5vtzrw6ScyjN1gifJywppu'],11,1,False,0.591,0.7909999999999999,7,-7.44,1,0.0276,4.69e-05,0.0023899999999999,0.179,0.941,128.013,188627,2007,2007-01-01
240717,3QLweFNLOOPAU0Fnjn1Vni,Transcendental Game of Zen,The Transcendental Game of Zen,60PWWmbmsEPb3ObZAiiyjg,['Minamina Goodsong'],['3KSIlUJhotpyPWWlMg5N0d'],17,1,True,0.655,0.979,7,-4.431,0,0.168,0.299,0.0,0.155,0.519,106.501,211613,2005,2005-08-09
780123,2BsfogfDmNTWVglBkRD40I,Heart Beat,Supersonic Bomb,4pZOYwB06tqK2aISbhYGIo,['Funky Destination'],['2FK2jZ7cuokxYOC5nSM7bK'],8,1,False,0.598,0.979,1,-4.658,0,0.047,0.0303,0.0015,0.434,0.846,115.005,268742,2015,2015-01-19
44045,1HsaLDyJtQa8QVbNvxDvm9,Satisfied,Shine,5RPPtvOMLHFoIHQcMmas6x,['Rebecca Folsom'],['5mswgSvDrYFvx3BpnBZJaq'],10,1,False,0.396,0.41,1,-8.327,1,0.0396,0.0752,1e-06,0.0695,0.384,186.116,195387,2004,2004-05-08
544050,03fblp49WwWCsIdIP3E6UZ,Superbird (Ft. Singing Bird),Pressure,7yzGekWmOeUlIpmQwb52RT,['The Bug'],['213i4NKah1DX9q0FNiKsuw'],6,1,False,0.735,0.85,8,-5.773,1,0.0826,0.0186,0.0656,0.0855,0.593,100.008,249880,2003,2003
864117,0Veyvc3n9AcLSoK3r1dA12,Voices in My Head,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,['A Boogie Wit da Hoodie'],['31W5EY0aAly4Qieq6OFu6I'],1,1,True,0.754,0.6629999999999999,6,-6.311,0,0.4270000000000001,0.0555,0.0,0.1009999999999999,0.207,90.195,142301,2018,2018-12-21
690657,30r8XfuTmsqXnmT4eOYLvk,Yop Sticc,Sharkin Through da Matrix,5MpsIMheML6qz7WLcbqfxx,"['Innerstate Ike', 'T- Loc']","['0vsqez7aphniHAnu6vCNkW', '7BKaq3LBUNAhdJwSwn2UZr']",4,1,True,0.514,0.624,10,-11.138,0,0.863,0.126,0.0,0.446,0.515,170.149,160961,2017,2017-03-27
469301,4YQ9WEYQG7fq0MAUYeB19Y,Vamos Muy Bien,El Que Mas,71bX52KVtdWhaViWnIZgLD,['Obus'],['5OImtJcOmtdm3MkR1yLHkp'],3,1,False,0.362,0.974,2,-5.585,1,0.0964,0.015,8.29e-06,0.963,0.675,140.218,218133,1984,1984-07-01
1047081,5C9OlO8uF1DgOadaIl3hoR,Love Is Calling,Until Next Time,7ARI6PcG9LrARc8CbH4yJp,['Jonnie and Brookie'],['4RHnlxSFrHnx2gRMvpUAM8'],12,1,False,0.607,0.607,1,-9.481,0,0.0633,0.0212,2.23e-06,0.1369999999999999,0.647,76.002,195031,2014,2014-11-06
971524,6FdSFTYUFxRcSOCgwrDl3h,Right Now,Witches Stew,5p0YrSUdEeURL2Ei1WNLZP,['Lettuce'],['1fZXjUQEkVbB0TvZX4qFR8'],6,1,False,0.44,0.8059999999999999,10,-5.65,0,0.0471,0.136,0.5329999999999999,0.11,0.132,132.72299999999998,521844,2017,2017-10-13
136946,3CmfdB6szNadqJ5c5knehF,Bis ans Ende meiner Lieder - Live 2005,Der Solo-Abend,1RATblcV5Ma79ftVud7lzi,['Udo Jürgens'],['2G0htB8PxlO2onxnIismur'],8,2,False,0.441,0.451,5,-8.451,1,0.0342,0.7559999999999999,4.74e-06,0.7170000000000001,0.318,98.362,308960,2006,2006-02-03
