,album_id,album,year
0,4MPq5ix5c8WmLDSd78MOl6,smoke in CHINATOWN,2007
1,60PWWmbmsEPb3ObZAiiyjg,The Transcendental Game of Zen,2005
2,4pZOYwB06tqK2aISbhYGIo,Supersonic Bomb,2015
3,5RPPtvOMLHFoIHQcMmas6x,Shine,2004
4,7yzGekWmOeUlIpmQwb52RT,Pressure,2003
5,3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,2018
6,5MpsIMheML6qz7WLcbqfxx,Sharkin Through da Matrix,2017
7,71bX52KVtdWhaViWnIZgLD,El Que Mas,1984
8,7ARI6PcG9LrARc8CbH4yJp,Until Next Time,2014
9,5p0YrSUdEeURL2Ei1WNLZP,Witches Stew,2017
10,1RATblcV5Ma79ftVud7lzi,Der Solo-Abend,2006
11,5qMURLsA8WlXGwwUmpdnYb,Wandering Mind,2019
12,2k0rCRazOgA5lNCANlvfS8,Future,2015
13,3Ny6yJSMO4dOsOYtdf4Tr1,Revelation,2008
14,5qAc2mg5MsK9JxiELLoUMN,N2U,2018
15,22ebsPh85KTTvWmRyGbprc,Pictures at an Exhibition,2012
16,04kH9Wt07t3rVyxoNaZoa1,Redemption Road,1997
17,5BnmEkQe3oxfJ2qQLCh0G5,Vivaldi: Sacred Works for Soprano and Concertos,2012
18,7fsU6fZqsajhZQcnpHsRsX,Surya's Smile I,2013
19,7j4MjhQTkaJMl8sipcG1g2,At The End Of The Evening,1988
20,5NIq65wAAfKAMH4EuPYIg7,Flies Will Starve,2013
21,1VTx0Zvn6LrQ5RQR2XLERn,Laleia,2015
22,5hp0lyVFsqwLyR1IdJKyuD,"Piano / Instrumental Works: Video Game Themes, Vol. VIII",2020
23,3CLhlil5sqEwbtWTnJp5iw,Chansons retrouvées,2008
24,6OVxrCn1RwoxyBl0z35Wn2,The Giant Pin,2004
25,6Ar0N4mYAPLoF61FToBmaZ,(MM) Sydämeni laulut - Juhlavuosi 2003,2003
26,6fiXTXUGKITd1Z5rYQ1qoN,Awaken,2010
27,1ZyCyeB3HghV0bm5giF7rl,Nu,2004
28,6eLVWJ18v9YhbJqNiK9GCr,Hosemusik,2002
29,5e5Zu9uJ4pCb4Kky6oqGID,Paparazzi,2008
30,4H8oPNML44iMPlgOn1S9PQ,Black Dream,2014
31,7HR4gT2I1soSD9YxHS25Nq,Norouz and Persian Spring,2019
32,390nrhMIPEmBPnqN36GDaZ,Viva Santana!,1988
