,id,name,artists,artist_ids,year,genre,language,country,AppleMusicLink,SpotifyLink,YouTubeLink,YouTubeMusicLink,PandoraLink,DeezerLink,SoundCloudLink,AmazonMusicLink,TIDALLink,NapsterLink,YandexLink
0,7dgRxjC0CMafYPYBnJWQuT,Clear The Streets,"['Goodfelonz', 'Tha Gamblaz']","['4XMTFEIYCLf3SeXoarJpUQ', '1ewiluMoPMmHAiO0hGPmiT']",2006,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/260579588?i=260582116&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""",not found,"""https://www.youtube.com/watch?v=zFTZeSGPfns""","""https://music.youtube.com/watch?v=zFTZeSGPfns""",not found,not found,not found,not found,not found,not found,not found
1,3pyYW6FlqnzfG2TDzKlxGC,Shame on You,['The Del Lords'],['7IAUfrEYLQyg1zCfp2X5QR'],2016,NAN,NAN,NAN,,,,,,,,,,,
2,2nJqonIvXE9k3DBiJEY2qv,Violent Pacification - Violent Pacification,['D.R.I.'],['6eKzDvHhJgMtcaOrvEXCTv'],2007,NAN,NAN,NAN,,,,,,,,,,,
3,5rstUMnDCeqpI5KD6sIofk,Plumber Recalls,['The High Llamas'],['4C6mJ6VZtsBnwzGKZmmzeF'],2016,NAN,NAN,NAN,,,,,,,,,,,
4,5Rd0gVSCOvjQDY9eqTHmEJ,Little Moon - Remastered,['Stephen Bishop'],['3JhRHqCi8HEzkJVWt19LtN'],1980,NAN,NAN,NAN,,,,,,,,,,,
5,3snCihvUe6bUh5pAkws58H,Waasi's Delight,['Waasi'],['0LUzxjEp0R42z1tawJzgcl'],2019,NAN,NAN,NAN,,,,,,,,,,,
6,4WGxuR9HIKo649Yw8HCARi,At Play in the Fields,['Supernal Endgame'],['7HE9mJ0WKLrMiObicctLnp'],2010,NAN,NAN,NAN,,,,,,,,,,,
7,7bkk7DeIhJ52I2xjyoBdtR,Half Man Par Tremendo,['Mellow Man Ace'],['37YcGi7z4aXgzWu4jGRe4H'],2004,NAN,NAN,NAN,,,,,,,,,,,
8,6mKCxKwYeaSYSxRj54aQtj,II Modestement,"['Erik Satie', 'Peter Dickinson']","['459INk8vcC0ebEef82WjIK', '2rKifrEG0KeKOqiKzh4nG6']",2000,NAN,NAN,NAN,,,,,,,,,,,
9,3zOwAM4TN9IkMlGf88FgBE,Demons,['Neoni'],['38wxcfNEqMwuPniHvplin5'],2019,NAN,NAN,NAN,,,,,,,,,,,
10,5UY9229DVLLYjDPE3jbKqx,"Concerto for 2 Oboes in C Major, Op. 7, No. 2: III. Allegro","['Tomaso Albinoni', 'Anthony Camden', 'Alison Alty', 'London Virtuosi', 'John Georgiadis']","['17OArJzEhRR3OmhtGcnfBq', '1iNHrIYKqHXQONIKKClI73', '5Qn31Qay3OM1TwHI2UNCsJ', '1rN8URXQLC7teSgmIeUuQn', '7eqecmnZFVZA4oPKk3HTBf']",1995,NAN,NAN,NAN,,,,,,,,,,,
11,4fyZZwNAIfGo3RIDYacLok,Prove Me Wrong,['KornuCopia'],['5mLDYFPA4QDRaQGHFdg7hI'],2016,NAN,NAN,NAN,,,,,,,,,,,
12,7gr4cjzYk40DmvmtnFtNaP,Seasons,['Dave Mason'],['2DWQX92uew7DlsgN0yD775'],1973,NAN,NAN,NAN,,,,,,,,,,,
13,3hwrZ2TPN515APoM1odmrM,One (Original Mix),['Manuel Le Saux'],['1kkTYO0kOsWGwV9cGsWN23'],2014,NAN,NAN,NAN,,,,,,,,,,,
14,4V8CMmVtpcDIx3HmxF3CfT,Depth of Field,"['Chris Hansen', 'Matt Pond PA']","['4seaYyQwMCXTbSdrc2uu25', '3JVgWZxQa78cVa2cUuAUQ4']",2011,NAN,NAN,NAN,,,,,,,,,,,
15,0E3SXiL3WVQ0pwwJlzBCct,Down That Road Again,['Guitar Shorty'],['3A01qH4VCBkDXcDc2luyNc'],2006,NAN,NAN,NAN,,,,,,,,,,,
16,0O7iofh0P6tPYV3P7Vpjkp,Jeux (version for piano): Prelude,"['Claude Debussy', 'Jean-Efflam Bavouzet']","['1Uff91EOsvd99rtAupatMP', '4BcOHdtzeyl8hX3zUId6hZ']",2009,NAN,NAN,NAN,,,,,,,,,,,
17,1gzO9z76HHeM9N0DiRvwXv,A Girl Like You - Jared Austin Dub,['Luke Francis'],['2s4UwYV37ZN8g7JXGQKofF'],2008,NAN,NAN,NAN,,,,,,,,,,,
18,7AikPhVaXliae4L0CzWKbK,"La Traviata: Act III: Ah, Violetta! - Voi, signor!","['Giuseppe Verdi', 'Fernando Previtali', 'Anna Moffo', 'Richard Tucker', 'Robert Merrill', 'Anna Reynolds', 'Piero de Palma', 'Franco Ventriglia', 'Vito Susca', 'Liliana Poli']","['1JOQXgYdQV2yfrhewqx96o', '309Pq41jTaux8IeVeOIk6u', '28zJ68gN34mByp7NEYNdse', '6BRN7IxoTswNo5rYYZsQvF', '1G4jpiUOb1RmRNuaUhv1Ys', '622HJUzw14piC3M7GSRqTR', '7gxxE0IbP9hFZeJVwdWCSc', '7teNgEfutW8hrpWBt5KSrr', '1vOoKV0D9TYqqZGzb0Z9Q3', '4wfgkuXvTmQ3lSqGtnQU4U']",1997,NAN,NAN,NAN,,,,,,,,,,,
